material_id,material_name,material_type,density_g_cm3,strength_score,weight_capacity_kg,biodegradability_score,recyclability_percent,manufacturing_energy_index,fragility_support,moisture_resistance,cost_target,co2_target
22,Material_22,Biodegradable Plastic,0.693,38.94,43.29,74.78,72.31,75.5,0,0,81.94679505373534,6.167424057604456
23,Material_23,Molded Fiber,1.168,78.6,27.06,41.33,83.58,51.83,1,1,111.29286232002521,-7.99837066605464
24,Material_24,Recycled Paper,0.467,63.87,39.68,99.31,66.7,66.66,1,0,98.50349226592094,-63.995672700804626
25,Material_25,Recycled Cardboard,1.224,30.24,15.54,42.49,62.71,66.01,0,1,57.27045454471717,53.528696967331285
26,Material_26,Bio-Composite,0.985,90.57,27.53,98.07,81.55,75.25,0,1,115.85301413632934,-48.25969664779093
27,Material_27,Molded Fiber,0.349,51.48,17.92,72.99,51.25,63.92,1,0,69.33300984259604,-4.569754754442958
28,Material_28,Biodegradable Plastic,0.739,86.23,21.3,97.79,86.04,62.34,0,0,111.08626636000413,-92.49993932207437
29,Material_29,Biodegradable Plastic,1.323,83.02,36.89,46.89,75.7,26.39,1,0,118.282552385507,-86.95248093551632
30,Material_30,Corrugated Board,1.4,69.95,44.2,69.42,80.29,14.19,1,0,113.99389388424895,-173.28871349197573
31,Material_31,Corrugated Board,0.805,59.56,6.95,50.17,81.59,46.23,0,0,79.63233820184702,-40.97964784929026
32,Material_32,Recycled Paper,0.825,98.36,32.1,43.06,76.35,18.71,0,0,123.97003389461157,-104.57196241576389
33,Material_33,Molded Fiber,1.394,31.6,29.53,77.05,79.13,77.35,1,1,74.08365393323152,2.264247924098861
34,Material_34,Molded Fiber,0.963,78.01,6.8,52.47,84.19,30.29,0,1,95.79424453095503,-95.0410120230656
35,Material_35,Recycled Cardboard,0.243,35.3,11.38,75.26,87.66,69.71,1,0,63.5902318711603,-28.78225159980476
36,Material_36,Recycled Cardboard,1.387,47.06,16.24,46.74,86.37,37.13,1,1,81.43095882593029,-64.72135924497285
37,Material_37,Recycled Cardboard,0.523,44.7,9.18,59.92,93.48,32.62,1,1,73.28887498756283,-115.8894443717404
38,Material_38,Corrugated Board,0.951,95.76,12.94,86.9,59.47,75.46,0,1,105.51417074962956,-4.642240737459835
39,Material_39,Molded Fiber,0.415,97.39,14.11,66.22,70.06,35.43,1,1,110.48589515773884,-95.51698311078408
40,Material_40,Molded Fiber,0.244,34.64,17.45,77.66,97.39,37.32,1,1,70.39632594322767,-140.05581769598837
41,Material_41,Biodegradable Plastic,0.605,21.76,37.72,78.85,69.83,17.43,1,1,65.2558211451108,-173.89286574343234
42,Material_42,Corrugated Board,1.215,77.6,29.02,90.63,56.24,56.93,0,0,100.44957996274063,-63.57343755744794
43,Material_43,Bio-Composite,0.561,53.44,49.33,59.5,76.27,30.22,1,0,99.17408244731092,-103.47256640021956
44,Material_44,Corrugated Board,0.486,27.11,21.32,81.24,55.47,50.99,1,0,54.66040049855859,-63.49456571061889
45,Material_45,Bio-Composite,0.476,74.7,37.94,97.7,60.14,51.39,1,1,105.10092826826043,-101.38024940104081
46,Material_46,Biodegradable Plastic,0.87,63.61,43.7,83.81,99.92,60.34,0,0,110.62922620748587,-84.26701139274368
47,Material_47,Recycled Paper,1.468,98.44,34.27,69.39,77.07,62.17,1,0,131.0916697141853,-26.32595547487162
48,Material_48,Molded Fiber,0.797,38.19,21.18,77.84,64.2,46.01,1,0,67.35301288781638,-79.03999341970815
49,Material_49,Biodegradable Plastic,0.924,52.32,37.93,84.38,99.74,33.17,0,1,98.08643405562799,-167.34724979011594
50,Material_50,Molded Fiber,1.319,63.4,10.98,76.74,98.33,68.62,0,0,92.27627661261785,-41.95584552118593
51,Material_51,Recycled Cardboard,0.896,83.34,17.05,41.0,72.04,31.69,1,1,104.40006630528703,-56.73807284883632
52,Material_52,Recycled Paper,0.44,63.91,27.79,51.69,63.02,45.53,1,0,90.82849553622647,-29.990133976208707
53,Material_53,Recycled Paper,0.589,69.03,29.2,88.63,91.92,38.09,1,0,104.23209522378328,-154.05088714442678
54,Material_54,Biodegradable Plastic,0.603,38.09,2.08,56.36,85.78,69.86,0,0,59.4361604315047,13.180960716890501
55,Material_55,Recycled Paper,0.717,87.75,47.31,83.89,84.35,40.23,0,1,126.58128986425639,-129.09379382260528
56,Material_56,Bio-Composite,0.755,54.29,35.13,62.33,94.66,37.03,1,1,98.6684534320428,-107.25204554091128
57,Material_57,Recycled Paper,1.24,31.28,25.29,71.31,84.47,58.29,0,1,69.99865840828423,-48.02600099205019
58,Material_58,Molded Fiber,0.654,73.14,46.72,44.08,64.19,52.17,1,1,110.15353749692167,5.777805055093069
59,Material_59,Molded Fiber,0.809,37.29,22.52,50.87,84.69,17.51,1,1,74.35192895721158,-131.25810804205932
60,Material_60,Molded Fiber,1.012,27.81,49.04,97.43,65.29,45.57,0,0,75.64517713237441,-121.75828894468022
61,Material_61,Molded Fiber,0.691,88.96,26.1,93.41,87.96,61.48,1,0,118.25770918390894,-88.93166431132114
62,Material_62,Bio-Composite,1.288,56.81,6.6,79.14,80.99,79.45,0,1,78.89742179038966,2.591132989180524
63,Material_63,Corrugated Board,0.964,79.94,38.48,67.58,53.87,54.04,0,1,106.52443318922512,-24.719214417096936
64,Material_64,Recycled Cardboard,0.582,43.25,34.27,80.55,75.64,35.92,1,0,81.83661203554895,-129.56955373112953
65,Material_65,Biodegradable Plastic,1.128,82.96,38.88,77.12,67.17,25.83,0,1,114.92224508796447,-141.233547635895
66,Material_66,Molded Fiber,0.886,28.95,47.62,74.11,66.43,71.1,1,0,77.59181866662787,-0.5102887010978983
67,Material_67,Recycled Paper,0.895,48.48,39.05,43.55,80.11,67.02,0,1,89.15950754611227,35.33801522088665
68,Material_68,Molded Fiber,0.825,98.24,30.96,77.97,66.12,26.37,1,0,122.7387288148524,-141.86950745492186
69,Material_69,Recycled Paper,0.846,83.52,43.01,86.14,88.84,24.04,1,1,125.31238921938217,-186.09221118004174
70,Material_70,Recycled Cardboard,1.195,59.78,33.99,99.64,53.54,60.06,1,1,91.08691539435684,-68.6400514265393
71,Material_71,Recycled Cardboard,0.334,47.18,21.0,40.66,83.02,32.05,0,0,76.7991405903398,-67.11590524777444
72,Material_72,Recycled Cardboard,0.635,89.77,44.4,83.81,90.46,31.45,1,0,130.6397425927881,-162.30354809138052
73,Material_73,Recycled Paper,0.298,63.59,11.87,74.31,83.64,20.66,0,1,83.93014180191881,-169.5151628543615
74,Material_74,Molded Fiber,1.179,80.67,36.02,66.04,74.86,28.48,0,1,114.48679890231074,-117.76020161548874
75,Material_75,Recycled Cardboard,0.554,80.33,44.2,47.65,97.52,39.93,0,0,122.86753898932325,-73.0333998053189
76,Material_76,Bio-Composite,1.367,21.44,36.83,64.55,65.0,61.3,0,1,64.48001407360174,-7.535071323334735
77,Material_77,Recycled Paper,0.885,30.1,35.17,61.26,50.96,33.54,0,0,63.99274607790765,-69.94467031804561
78,Material_78,Recycled Paper,1.241,72.77,37.88,58.17,71.6,33.0,1,0,109.63538872230689,-84.98891031533144
79,Material_79,Molded Fiber,1.473,32.93,23.79,83.85,51.65,29.94,0,1,61.22485875066778,-125.43469508999061
80,Material_80,Recycled Paper,1.292,40.44,43.83,82.04,97.7,43.48,1,0,96.16904388395481,-128.84148009609626
81,Material_81,Recycled Paper,1.327,95.73,10.97,75.34,60.5,22.64,1,0,109.18844578672118,-139.24981571324858
82,Material_82,Recycled Cardboard,0.73,64.81,7.24,96.32,89.45,43.99,0,1,86.67900679840113,-147.3419971161048
83,Material_83,Molded Fiber,0.917,80.06,14.99,60.99,88.73,59.29,1,0,105.34437858184185,-30.04472481274708
84,Material_84,Recycled Cardboard,0.53,64.64,27.05,54.63,60.89,12.09,1,0,90.14885540196018,-134.30080675022646
85,Material_85,Recycled Cardboard,0.455,64.2,26.02,79.35,81.06,10.68,0,0,92.77284639832486,-206.4952836337588
86,Material_86,Molded Fiber,0.857,27.53,41.21,51.93,52.4,15.26,1,0,68.3047873044234,-107.92783195499574
87,Material_87,Biodegradable Plastic,0.974,47.49,20.82,58.9,74.18,47.5,0,1,76.37772646017187,-47.40593213122559
88,Material_88,Recycled Cardboard,0.641,42.59,24.73,53.48,50.73,69.81,0,0,66.59932153340765,53.47317384686832
89,Material_89,Bio-Composite,0.94,51.26,1.66,44.15,96.06,10.34,0,1,74.85519956333762,-151.34942141294934
90,Material_90,Bio-Composite,1.354,83.87,21.08,89.65,98.8,75.57,1,0,116.47033584158183,-48.60811537712076
91,Material_91,Recycled Paper,0.924,49.75,32.74,55.27,61.11,17.44,1,1,83.9949733819916,-115.96258642792259
92,Material_92,Bio-Composite,1.137,56.14,1.76,68.38,60.41,68.94,1,0,70.63012946105508,12.643048069176594
93,Material_93,Recycled Paper,1.247,51.79,14.76,42.6,87.69,43.8,1,1,82.82894034085201,-39.146685752316706
94,Material_94,Biodegradable Plastic,1.485,27.47,11.19,81.96,62.67,56.16,0,0,53.095998660615834,-55.361120022077166
95,Material_95,Molded Fiber,0.984,55.29,3.06,59.83,94.75,45.75,0,0,79.08309272498514,-75.3026874737393
96,Material_96,Molded Fiber,1.249,35.65,24.48,84.68,78.7,43.39,1,0,73.3454987433188,-115.36640136233035
97,Material_97,Molded Fiber,1.451,34.94,9.9,64.74,67.54,68.44,0,0,60.40503874361881,12.030071194614932
98,Material_98,Bio-Composite,1.428,27.52,37.41,51.75,91.63,62.91,1,1,79.72383671834729,-2.4901102944678346
99,Material_99,Biodegradable Plastic,0.383,48.53,42.55,70.79,74.67,43.84,0,1,88.20114984913545,-83.43335920511623
100,Material_100,Bio-Composite,0.728,80.6,27.73,47.83,95.58,17.81,0,0,113.96029707539165,-136.51507839100836
101,Material_101,Bio-Composite,0.621,42.12,49.1,66.43,96.4,18.08,0,1,93.91789187853517,-172.82305849979156
102,Material_102,Biodegradable Plastic,0.313,44.99,23.07,59.04,58.27,66.11,0,0,68.19693319750512,23.621991020595498
103,Material_103,Biodegradable Plastic,1.023,71.41,26.16,94.72,50.12,47.06,0,0,91.9402849655083,-96.00447435691353
104,Material_104,Biodegradable Plastic,1.157,35.67,49.47,43.66,99.2,43.71,1,1,95.81387469602504,-53.2199495579854
105,Material_105,Biodegradable Plastic,1.303,91.76,12.35,81.64,95.31,57.64,1,1,116.61244941160385,-82.34230223982077
106,Material_106,Molded Fiber,0.36,61.62,47.18,50.97,52.77,70.12,0,1,95.01212646927773,58.06205337364423
107,Material_107,Corrugated Board,1.339,55.81,3.1,59.14,91.65,54.02,1,0,81.19108225020669,-45.26330829751289
108,Material_108,Corrugated Board,1.036,64.63,22.87,64.93,72.89,63.4,0,0,91.61631428928095,-10.328314312076802
109,Material_109,Biodegradable Plastic,1.115,33.28,4.43,94.48,62.95,63.57,0,1,52.490091296681776,-58.372296157791666
110,Material_110,Corrugated Board,1.384,69.08,36.73,54.55,93.94,34.94,0,0,111.36766130221662,-94.38083518283885
111,Material_111,Corrugated Board,1.012,49.05,30.81,45.48,59.83,29.19,0,1,80.11009366324275,-62.0799059954644
112,Material_112,Biodegradable Plastic,0.637,91.77,35.63,59.12,97.36,66.08,1,1,128.4329474185859,-14.853378613989863
113,Material_113,Corrugated Board,1.273,33.51,19.35,46.28,60.28,36.4,0,1,61.031259980951965,-39.552895635923015
114,Material_114,Bio-Composite,0.672,60.56,19.1,47.72,80.68,73.23,1,1,88.84678492351289,44.95264445144649
115,Material_115,Recycled Paper,0.244,67.85,3.22,74.43,61.15,14.88,0,1,76.23406087421058,-162.86536719466744
116,Material_116,Recycled Paper,1.28,22.67,18.15,43.65,77.28,14.08,0,1,56.916669703110394,-118.28060623195194
117,Material_117,Biodegradable Plastic,0.649,49.1,46.54,41.86,84.2,74.89,1,0,97.22695844519667,59.19461495309176
118,Material_118,Molded Fiber,1.206,78.61,19.58,82.86,59.51,55.39,0,0,96.7101297849937,-55.21371276715329
119,Material_119,Biodegradable Plastic,0.672,85.63,41.74,61.7,76.04,36.57,0,1,118.52809633276173,-87.23889875890437
120,Material_120,Molded Fiber,1.319,45.05,42.27,47.52,73.45,62.85,1,1,91.36318291765149,23.34216335820242
121,Material_121,Recycled Paper,0.485,83.89,19.29,55.22,53.55,57.06,1,1,99.03676669132464,8.31782800340702
122,Material_122,Biodegradable Plastic,1.467,97.42,31.97,78.53,90.92,47.18,1,0,132.43648256501922,-103.43299904740414
123,Material_123,Recycled Cardboard,1.214,88.55,5.67,56.53,66.78,16.92,0,1,97.97111336784586,-126.44916023916079
124,Material_124,Bio-Composite,0.349,29.41,6.08,69.67,78.73,66.85,0,1,51.91455356428165,-16.865128377599884
125,Material_125,Corrugated Board,0.936,79.18,3.38,47.3,75.74,70.62,1,1,94.14140700154336,43.905822035132864
126,Material_126,Molded Fiber,1.481,45.57,29.47,75.29,75.66,22.05,1,0,84.0354672460395,-155.26869276674753
127,Material_127,Recycled Cardboard,0.812,99.07,21.88,58.96,55.36,69.54,0,1,112.06305730504572,35.8982536250017
128,Material_128,Corrugated Board,0.437,58.83,27.85,77.62,71.17,71.45,0,0,87.25632685530965,-10.026046006745657
129,Material_129,Corrugated Board,0.83,29.79,26.53,88.5,72.62,48.46,1,0,66.1004306433276,-102.87331318496835
130,Material_130,Biodegradable Plastic,0.866,78.01,18.16,76.7,86.68,55.93,1,1,103.93235670652562,-70.19816389041068
131,Material_131,Corrugated Board,1.164,45.84,34.2,57.74,92.0,36.76,1,0,90.7010859418779,-94.79707849952312
132,Material_132,Bio-Composite,1.108,99.77,38.17,55.34,77.25,29.73,1,0,132.49224260580579,-94.67200616337405
133,Material_133,Recycled Cardboard,0.723,98.38,1.72,59.65,54.34,60.54,0,0,98.65150073556856,9.437529560323876
134,Material_134,Corrugated Board,0.483,72.49,11.15,49.88,61.84,70.33,0,1,85.60502431323155,50.96251354864046
135,Material_135,Biodegradable Plastic,1.039,30.39,35.95,50.87,58.25,55.79,0,0,67.5735091926173,10.378786674793371
136,Material_136,Bio-Composite,0.748,74.95,19.94,87.44,56.23,45.81,0,1,92.72526735896903,-92.62200472508437
137,Material_137,Recycled Paper,0.372,27.44,33.46,63.08,68.29,21.12,1,1,65.38425890087534,-130.2277392464969
138,Material_138,Recycled Cardboard,1.371,22.35,18.0,66.16,61.47,13.74,0,1,52.77088585255456,-148.29947161582504
139,Material_139,Corrugated Board,1.099,85.84,20.15,75.64,60.92,41.2,1,0,105.03639261448768,-86.46376436759007
140,Material_140,Biodegradable Plastic,1.088,36.78,8.78,75.38,52.73,13.45,0,1,55.163106349574015,-159.8397240733631
141,Material_141,Recycled Paper,1.269,50.32,13.65,44.04,50.88,49.85,0,0,68.84596794513642,13.530744020089374
142,Material_142,Recycled Paper,0.889,97.88,30.67,89.89,55.14,36.79,0,0,116.3074395880898,-121.51294218387437
143,Material_143,Molded Fiber,1.26,46.95,22.22,50.64,58.61,63.0,1,0,75.43642387694557,33.48324785932244
144,Material_144,Bio-Composite,0.848,43.72,38.94,83.38,71.55,31.4,0,0,83.23354903860583,-143.39548792976512
145,Material_145,Corrugated Board,0.287,93.46,42.78,86.36,75.53,51.51,1,1,125.94334553000239,-93.93919456307628
146,Material_146,Biodegradable Plastic,0.727,28.86,27.54,82.89,57.03,47.64,1,1,61.99258360749178,-78.37945672961082
147,Material_147,Molded Fiber,0.847,80.77,38.16,74.74,71.24,10.33,0,0,111.75645369166554,-186.586702905409
148,Material_148,Bio-Composite,1.136,99.05,16.04,40.88,67.09,15.07,1,1,116.58050427901658,-100.42727376173245
149,Material_149,Molded Fiber,0.339,92.1,21.33,61.62,59.17,30.33,0,1,106.06184515031342,-91.4438261192798
150,Material_150,Recycled Cardboard,0.382,72.13,35.93,76.29,50.34,71.76,1,1,98.06637055952676,13.790244227809774
151,Material_151,Bio-Composite,0.543,45.12,19.92,63.25,73.35,20.29,0,0,73.64765713734859,-138.26211431282124
152,Material_152,Bio-Composite,0.546,40.35,29.84,91.81,84.28,59.76,1,1,79.49735058705335,-86.64562764604925
153,Material_153,Corrugated Board,1.152,85.54,10.08,58.53,61.31,78.14,1,0,99.78668793378218,59.3072754981478
154,Material_154,Bio-Composite,0.526,90.39,30.39,57.61,56.59,65.34,0,1,109.7383402317996,24.882321729902625
155,Material_155,Molded Fiber,1.023,62.03,43.21,55.96,94.35,27.01,0,0,108.3457338466039,-122.72866810346531
156,Material_156,Bio-Composite,0.843,39.55,43.56,59.97,63.75,73.59,0,0,81.02105818353331,40.04477863311248
157,Material_157,Corrugated Board,0.945,29.04,36.49,73.44,61.18,16.52,0,0,67.53447468830568,-157.46192611501428
158,Material_158,Corrugated Board,1.29,26.97,37.54,82.42,92.85,42.77,1,1,79.6358969476576,-125.9442238350169
159,Material_159,Recycled Cardboard,0.726,77.53,28.34,79.75,90.86,72.13,1,0,110.91480600482669,-32.92982952531857
160,Material_160,Molded Fiber,1.202,53.61,29.65,88.46,72.42,54.89,1,1,89.10892492576811,-81.67633132647414
161,Material_161,Recycled Paper,0.749,92.43,7.55,93.15,74.46,38.96,1,0,106.62714378013149,-141.6870664341999
162,Material_162,Recycled Paper,0.66,79.17,22.75,88.96,60.89,30.5,0,1,98.19142808176468,-144.25078171825012
163,Material_163,Bio-Composite,1.446,35.3,23.09,41.14,53.92,36.26,1,0,66.17816182242909,-23.823408446586622
164,Material_164,Recycled Cardboard,0.44,69.1,47.97,84.16,78.67,45.63,0,1,109.04637789545825,-107.97413203854464
165,Material_165,Biodegradable Plastic,0.317,54.84,22.12,52.5,54.92,32.33,1,0,77.37129804056748,-62.72584873072431
166,Material_166,Bio-Composite,1.202,66.18,27.92,47.98,72.46,77.83,0,0,95.85126728950877,67.7284859559116
167,Material_167,Recycled Cardboard,0.289,79.05,27.13,78.31,97.02,75.32,0,0,109.24191707211494,-26.546558982905946
168,Material_168,Molded Fiber,1.288,84.5,32.2,59.18,97.64,70.95,0,1,121.42146287551446,0.21123273388489475
169,Material_169,Molded Fiber,0.768,87.5,37.66,43.43,61.97,39.53,0,0,113.05775373323566,-28.549893217279106
170,Material_170,Molded Fiber,1.39,40.32,12.03,48.26,81.21,58.39,0,0,69.70253835818548,0.6661398880186405
171,Material_171,Molded Fiber,1.138,22.49,26.91,40.06,73.7,73.2,1,0,62.98847209837064,69.55830618914297
172,Material_172,Molded Fiber,0.994,79.14,41.47,94.19,93.78,69.53,0,0,120.12759822068209,-71.28690951971929
173,Material_173,Recycled Cardboard,1.434,28.51,23.69,41.48,63.57,39.0,1,1,63.69794092071998,-26.65959452450127
174,Material_174,Recycled Cardboard,0.716,45.19,14.64,52.57,50.19,17.87,1,0,64.7973395476668,-100.52841293698042
175,Material_175,Corrugated Board,1.44,20.31,33.08,64.98,58.13,15.29,0,0,58.90043631122633,-138.15106920502288
176,Material_176,Recycled Paper,0.376,74.53,41.36,61.39,67.48,50.39,1,1,108.28028631374914,-36.570434284151276
177,Material_177,Molded Fiber,0.829,33.37,4.09,94.7,65.79,54.98,1,1,54.078302534807236,-88.54428787830861
178,Material_178,Biodegradable Plastic,0.551,72.42,39.06,42.42,89.57,69.49,1,1,112.50322607664431,36.94153786774971
179,Material_179,Recycled Cardboard,0.902,99.34,41.26,70.73,84.03,30.48,0,0,132.96713570733263,-131.80258853729188
180,Material_180,Biodegradable Plastic,0.411,25.81,23.61,80.83,64.98,21.72,0,1,55.775735663754375,-160.64836856098574
181,Material_181,Biodegradable Plastic,1.294,26.17,49.18,95.9,72.89,36.53,0,1,77.62624631171883,-152.50219395014224
182,Material_182,Biodegradable Plastic,1.3,47.23,39.55,77.22,54.78,34.75,0,1,83.53854992146574,-101.85860966017441
183,Material_183,Corrugated Board,1.442,89.31,38.91,88.23,94.91,19.27,1,0,130.77261542741607,-210.48429844810644
184,Material_184,Recycled Cardboard,0.401,37.24,37.64,45.02,96.77,57.06,1,0,85.20873664582298,-15.212966576807476
185,Material_185,Biodegradable Plastic,1.01,48.83,8.38,63.16,98.99,45.61,1,0,80.08871520525709,-87.11143518732396
186,Material_186,Molded Fiber,0.817,25.48,11.64,62.44,93.43,60.48,1,1,60.02306805899672,-33.591218320745284
187,Material_187,Bio-Composite,0.648,81.05,23.74,93.18,58.7,34.69,1,0,101.77427223757691,-138.62492984092623
188,Material_188,Biodegradable Plastic,0.657,52.66,13.94,49.08,52.31,32.8,1,1,71.841225665328,-50.23737974266426
189,Material_189,Corrugated Board,0.737,80.74,21.35,49.11,78.98,43.08,0,1,103.99995215466872,-46.21831117317885
190,Material_190,Recycled Cardboard,1.116,92.29,44.53,59.71,95.63,71.42,1,1,135.617402295648,1.9960937915632277
191,Material_191,Corrugated Board,0.978,38.62,41.39,43.27,58.87,12.82,1,0,79.19649691920232,-105.04883625022465
192,Material_192,Biodegradable Plastic,0.798,84.59,31.87,50.95,50.35,66.34,1,1,107.40130287739966,47.971303950010814
193,Material_193,Recycled Cardboard,0.299,24.73,43.05,97.91,90.27,35.83,0,1,74.1463892633249,-177.35031012073836
194,Material_194,Bio-Composite,0.301,91.91,39.4,65.69,53.84,69.82,1,0,115.72866939883957,24.8089441134354
195,Material_195,Biodegradable Plastic,0.203,72.06,22.02,77.92,70.69,66.15,1,1,94.4459394748829,-27.344485000879768
196,Material_196,Corrugated Board,1.458,89.94,10.85,83.57,83.94,34.41,0,1,109.72965642494584,-145.3687072745362
197,Material_197,Recycled Paper,0.207,20.02,26.2,62.02,61.84,58.57,1,1,53.043489115060126,-9.873300161382257
198,Material_198,Molded Fiber,0.334,33.53,37.08,48.83,54.2,21.17,0,0,66.08494104638025,-88.3223518631062
199,Material_199,Corrugated Board,0.609,51.18,22.38,52.39,88.5,72.74,0,1,84.10813009014402,26.801339026641433
200,Material_200,Recycled Cardboard,1.25,50.36,33.67,58.8,81.51,38.31,1,0,91.54314336687102,-80.35830550319596
201,Material_201,Biodegradable Plastic,1.451,38.14,5.62,78.16,99.42,41.89,1,0,71.53188856099847,-125.4207104275503
202,Material_202,Molded Fiber,1.227,50.53,37.65,63.9,67.22,59.4,0,1,88.00224044428552,-14.192785813062113
203,Material_203,Biodegradable Plastic,1.098,30.31,40.82,40.41,53.09,67.46,1,1,70.51965559952473,70.42547063557734
204,Material_204,Recycled Cardboard,0.878,53.02,35.64,71.4,86.72,26.54,1,1,95.42047740109022,-147.9980155255806
205,Material_205,Biodegradable Plastic,0.313,84.19,48.4,95.29,76.09,56.29,0,1,120.66705344174972,-97.5070190454096
206,Material_206,Recycled Paper,1.446,58.33,41.51,88.72,60.66,37.44,0,0,95.31816198408518,-121.8631366366975
207,Material_207,Molded Fiber,1.186,21.44,45.25,89.51,89.09,35.81,1,0,77.60490386780525,-158.69694760448814
208,Material_208,Molded Fiber,1.031,53.72,46.74,87.7,60.19,58.3,0,1,93.50124352138131,-59.340576543596555
209,Material_209,Recycled Cardboard,1.187,22.17,40.27,59.42,63.03,37.1,1,0,66.56743086716831,-67.84501380815016
210,Material_210,Recycled Paper,1.141,97.3,34.04,85.91,54.63,34.23,1,1,120.79449807487615,-120.3989457549204
211,Material_211,Corrugated Board,1.028,30.2,1.28,48.59,69.97,68.51,1,1,52.13771744826619,40.23078031623658
212,Material_212,Biodegradable Plastic,1.475,76.62,23.83,79.46,70.95,17.09,1,1,104.51563063650495,-174.3181206930755
213,Material_213,Bio-Composite,1.374,97.82,28.99,78.49,75.73,57.31,0,1,123.59448546813526,-57.08926358618113
214,Material_214,Biodegradable Plastic,1.041,86.08,15.9,41.53,85.45,27.41,1,0,110.6538462730981,-82.59474308928243
215,Material_215,Biodegradable Plastic,1.101,75.95,16.59,87.28,95.31,11.08,0,0,103.39433785898116,-234.43907826650596
216,Material_216,Corrugated Board,0.267,87.16,48.1,94.19,56.89,21.67,1,1,119.7125891255569,-180.71703030675778
217,Material_217,Biodegradable Plastic,1.071,98.54,44.69,56.04,52.72,52.47,1,1,126.86874371105554,-4.293520767849415
218,Material_218,Recycled Paper,0.257,69.71,42.61,88.74,50.93,59.64,0,0,96.53500308338896,-48.65158782350863
219,Material_219,Recycled Paper,0.965,64.73,20.89,44.94,57.18,11.47,1,0,87.77146808073424,-110.09575139496381
220,Material_220,Molded Fiber,1.499,70.26,1.67,76.0,82.9,12.55,0,0,87.58402437031398,-194.23597939297798
221,Material_221,Recycled Cardboard,0.923,62.61,4.93,69.14,86.37,73.18,0,1,82.1654632058635,-2.259894574872016
222,Material_222,Bio-Composite,0.815,70.81,16.3,72.76,89.33,15.13,1,0,98.97936663690983,-187.86589806495257
223,Material_223,Biodegradable Plastic,0.607,55.99,1.77,95.57,62.19,72.59,1,1,68.69036570697676,-33.90105766492632
224,Material_224,Biodegradable Plastic,0.357,37.48,1.84,92.28,65.29,25.97,1,1,54.558180907932446,-171.36919767822567
225,Material_225,Corrugated Board,1.15,29.62,45.91,87.11,74.16,61.8,1,0,79.78479402862378,-59.85693288680098
226,Material_226,Recycled Cardboard,0.45,25.47,35.6,56.42,53.16,31.68,0,1,59.66526576098765,-70.6715913159205
227,Material_227,Recycled Paper,0.35,41.07,16.14,94.71,80.56,70.11,1,0,69.8522887600108,-58.42522518492781
